institutionType;programSize;basic
Masters Colleges and Universities;smaller programs;Masters Colleges and Universities--smaller programs
Masters Colleges and Universities;larger programs;Masters Colleges and Universities--larger programs
Masters Colleges and Universities;medium programs;Masters Colleges and Universities--medium programs
Research Universities;very high research activity;Research Universities--very high research activity
Research Universities;high research activity;Research Universities--high research activity
Baccalaureate Colleges;Diverse Fields;Baccalaureate Colleges--Diverse Fields
Baccalaureate Colleges;Arts & Sciences;Baccalaureate Colleges--Arts & Sciences
Associates;Private For-profit 4-year Primarily Associates;Associates--Private For-profit 4-year Primarily Associates
Associates;Public Rural-serving Small;Associates--Public Rural-serving Small
Associates;Public Urban-serving Single Campus;Associates--Public Urban-serving Single Campus
Associates;Public Urban-serving Multicampus;Associates--Public Urban-serving Multicampus
Associates;Public Rural-serving Large;Associates--Public Rural-serving Large
Associates;Public Rural-serving Medium;Associates--Public Rural-serving Medium
Associates;Public Suburban-serving Multicampus;Associates--Public Suburban-serving Multicampus
Associates;Private For-profit;Associates--Private For-profit
Associates;Public 2-year colleges under 4-year universities;Associates--Public 2-year colleges under 4-year universities
Associates;Public Special Use;Associates--Public Special Use
Associates;Private Not-for-profit 4-year Primarily Associates;Associates--Private Not-for-profit 4-year Primarily Associates
Associates;Private Not-for-profit;Associates--Private Not-for-profit
Associates;Public 4-year Primarily Associates;Associates--Public 4-year Primarily Associates
Associates;Public Suburban-serving Single Campus;Associates--Public Suburban-serving Single Campus
Baccalaureate/Associates Colleges;;Baccalaureate/Associates Colleges
Theological seminaries- Bible colleges- and other faith-related institutions;;Theological seminaries- Bible colleges- and other faith-related institutions
Not applicable- not in Carnegie universe;;Not applicable- not in Carnegie universe
Schools of art- music- and design;;Schools of art- music- and design
Other technology-related schools;;Other technology-related schools
Tribal Colleges;;Tribal Colleges
Doctoral/Research Universities;;Doctoral/Research Universities
Other health professions schools;;Other health professions schools
Schools of business and management;;Schools of business and management
Schools of engineering;;Schools of engineering
Other special-focus institutions;;Other special-focus institutions
Schools of law;;Schools of law
